id,name,original_description,description,address,latitude,longitude,imageUrl,searchQuery
23,3 Squares,,,,,,,3 Squares restaurant Maple Grove MN
24,Akame Sushi,,,,,,,Akame Sushi restaurant Maple Grove MN
25,Angeno’s Pizza,,,,,,,Angeno’s Pizza restaurant Maple Grove MN
26,Applebee’s Grill + Bar,,,,,,,Applebee’s Grill + Bar restaurant Maple Grove MN
27,Arby's,,,,,,,Arby's restaurant Maple Grove MN
28,Benihana,,,,,,,Benihana restaurant Maple Grove MN
29,Biaggi's,,,,,,,Biaggi's restaurant Maple Grove MN
30,Bonchon,,,,,,,Bonchon restaurant Maple Grove MN
31,Brick & Bourbon,,,,,,,Brick & Bourbon restaurant Maple Grove MN
32,Broadway Pizza,,,,,,,Broadway Pizza restaurant Maple Grove MN
33,Bruegger’s Bagels,,,,,,,
34,Buca di Beppo,,,,,,,
35,Burger King,,,,,,,
36,Cafe Zupas,,,,,,,
37,Caribou - Bass Lake Rd,,,,,,,Caribou - Bass Lake Rd restaurant Maple Grove MN
38,Caribou - County Rd 30,,,,,,,Caribou - County Rd 30 restaurant Maple Grove MN
39,Caribou - Elm Creek Blvd N,,,,,,,Caribou - Elm Creek Blvd N restaurant Maple Grove MN
40,Caribou - Grove Dr,,,,,,,Caribou - Grove Dr restaurant Maple Grove MN
41,Caribou - Maple Grove Pkwy,,,,,,,Caribou - Maple Grove Pkwy restaurant Maple Grove MN
42,Chanticlear Pizza,,,,,,,Chanticlear Pizza restaurant Maple Grove MN
43,Chick-Fil-A,,,,,,,Chick-Fil-A restaurant Maple Grove MN
44,Chipotle - Chipotlane,,,,,,,Chipotle - Chipotlane restaurant Maple Grove MN
45,Chipotle - Main St,,,,,,,Chipotle - Main St restaurant Maple Grove MN
46,Chipotle - Maple Grove Pkwy,,,,,,,Chipotle - Maple Grove Pkwy restaurant Maple Grove MN
47,Chipotle - MG Pkwy N,,,,,,,Chipotle - MG Pkwy N restaurant Maple Grove MN
48,Chuck E. Cheese,,,,,,,Chuck E. Cheese restaurant Maple Grove MN
49,Cold Stone Creamery,,,,,,,Cold Stone Creamery restaurant Maple Grove MN
50,Crave,,,,,,,Crave restaurant Maple Grove MN
51,Crisp & Green,,,,,,,
52,Crumbl,,,,,,,
53,Culvers,,,,,,,
54,Daily Dose Cafe & Espresso,,,,,,,
55,Dairy Queen,,,,,,,
56,Dancing Ganesha,,,,,,,
57,Dave & Busters,,,,,,,
58,Domino's Pizza,,,,,,,
59,Dunkin' Donuts,,,,,,,
60,El Rodeo,,,,,,,El Rodeo restaurant Maple Grove MN
61,Famous Dave’s,,,,,,,Famous Dave’s restaurant Maple Grove MN
62,Firehouse Subs,,,,,,,Firehouse Subs restaurant Maple Grove MN
63,Five Guys,,,,,,,Five Guys restaurant Maple Grove MN
64,Frankie's Pizza,,,,,,,Frankie's Pizza restaurant Maple Grove MN
65,Freddy’s,,,,,,,
66,Golden Corral,,,,,,,
67,Grabbagreen,,,,,,,
68,Grackle,,,,,,,
69,Granite City,,,,,,,
70,Great Greek Mediterranean Grill,,,,,,,Great Greek Mediterranean Grill restaurant Maple Grove MN
71,Great Harvest Bread,,,,,,,Great Harvest Bread restaurant Maple Grove MN
72,Grill Hall,,,,,,,Grill Hall restaurant Maple Grove MN
73,Hawaii Poke Bowl,,,,,,,Hawaii Poke Bowl restaurant Maple Grove MN
74,Highlander at Rush Creek,,,,,,,Highlander at Rush Creek restaurant Maple Grove MN
75,Hometowne pizza,,,,,,,Hometowne pizza restaurant Maple Grove MN
76,Hong Kong,,,,,,,Hong Kong restaurant Maple Grove MN
